,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
1380,Flora,Angiospermas,Amaryllidaceae,Hippeastrum angustifolium,Vulnerável (VU),VU,"Mata Atlântica,Pampa","Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária,Assentamento Humano: cidades,Barragens",Sim,Não,2,Não,"RS,SP"
1381,Flora,Angiospermas,Amaryllidaceae,Hippeastrum brasilianum,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,"ES,MG,RJ"
1382,Flora,Angiospermas,Amaryllidaceae,Hippeastrum breviflorum,Em Perigo (EN),EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Assentamento Humano: cidades",Sim,Sim,2,Sim,"RS,SC"
1383,Flora,Angiospermas,Amaryllidaceae,Hippeastrum goianum,Em Perigo (EN),EN,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"DF,GO"
1384,Flora,Angiospermas,Amaryllidaceae,Hippeastrum leucobasis,Criticamente em Perigo (CR),CR,Cerrado,Agropecuária,Sim,Não,2,Sim,GO
1385,Flora,Angiospermas,Amaryllidaceae,Hippeastrum morelianum,Vulnerável (VU),VU,Mata Atlântica,"Turismo/Recreação,Agropecuária,Queimadas",Sim,Sim,3,Sim,"MG,RJ,SP"
1386,Flora,Angiospermas,Amaryllidaceae,Hippeastrum papilio,Criticamente em Perigo (CR),CR,Mata Atlântica,"Extração de Não Madereiras,Transporte Terrestre/Aéreo",Sim,Não,2,Sim,"SC,RS"
1387,Flora,Angiospermas,Amaryllidaceae,Hippeastrum psittacinum,Em Perigo (EN),EN,Mata Atlântica,"Mineração,Extração Direta",Sim,Não,2,Sim,"MG,PR,SP"
1388,Flora,Angiospermas,Amaryllidaceae,Hippeastrum reginae,Em Perigo (EN),EN,"Cerrado,Mata Atlântica",Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Não,"DF,ES,MT,MS,MG,RJ,SC,SP"
1389,Flora,Angiospermas,Amaryllidaceae,Hippeastrum santacatarina,Em Perigo (EN),EN,Mata Atlântica,Agropecuária,Sim,Sim,2,Sim,"PR,SC,RS"
1390,Flora,Angiospermas,Amaryllidaceae,Hippeastrum striatum,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Não,"BA,SE,ES,MG,RJ,SP,PR,RS,SC"
1391,Flora,Angiospermas,Amaryllidaceae,Hippeastrum vittatum,Em Perigo (EN),EN,Mata Atlântica,Agropecuária,Sim,Não,2,Não,"PR,SC"
1392,Fauna,Peixes Marinhos,Syngnathidae,Hippocampus erectus,Vulnerável (VU),VU,Marinho,"Agropecuária,Aquicultura,Assentamento Humano: cidades,Caça/Pesca,Poluição",Sim,Sim,2,Não,"AL,BA,CE,ES,PB,PE,PI,PR,RJ,RN,SC,SE,SP"
1393,Fauna,Peixes Marinhos,Syngnathidae,Hippocampus patagonicus,Vulnerável (VU),VU,Marinho,"Agropecuária,Aquicultura,Assentamento Humano: cidades,Caça/Pesca,Poluição",Sim,Sim,2,Não,"AL,BA,,ES,PE,PI,PR,RJ,SC,SE,SP"
1394,Fauna,Peixes Marinhos,Syngnathidae,Hippocampus reidi,Vulnerável (VU),VU,Marinho,"Agropecuária,Aquicultura,Assentamento Humano: cidades,Caça/Pesca,Poluição",Sim,Sim,2,Não,"AL,BA,CE,ES,MA,,PB,PE,PI,PR,RJ,RN,SC,SE,SP"
1395,Flora,Angiospermas,Malpighiaceae,Hiraea bullata,Vulnerável (VU),VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"BA,ES"
1396,Flora,Angiospermas,Malpighiaceae,Hiraea wiedeana,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,"PR,RJ,SP"
1397,Flora,Angiospermas,Chrysobalanaceae,Hirtella insignis,Em Perigo (EN),EN,Mata Atlântica,"Plantação de Madereiras, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,"AL,BA,ES"
1398,Flora,Angiospermas,Chrysobalanaceae,Hirtella parviunguis,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
1399,Flora,Angiospermas,Chrysobalanaceae,Hirtella santosii,Em Perigo (EN),EN,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,BA
1400,Flora,Angiospermas,Malvaceae,Hochreutinera hasslerana,Em Perigo (EN),EN,"Pampa,Pantanal",Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Não,"MT,MS,RS"
1401,Flora,Angiospermas,Orchidaceae,Hoehneella heloisae,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,ES
